id,exchange,symbol,date,price,amount,bid
9998526,cb,btcusd,1.46785E+12,678.24,0.23099,FALSE
9998527,cb,btcusd,1.46785E+12,678.14,0.013,TRUE
9998528,cb,btcusd,1.46785E+12,678.02,0.013,TRUE
9998529,cb,btcusd,1.46785E+12,677.78,0.00349659,TRUE
9998530,cb,btcusd,1.46785E+12,678.22,0.20339,FALSE
9998531,cb,btcusd,1.46785E+12,678.21,0.19384,FALSE
9998532,cb,btcusd,1.46785E+12,677.78,0.00850341,TRUE
9998533,cb,btcusd,1.46785E+12,677.76,0.025,TRUE
9998534,cb,btcusd,1.46785E+12,677.74,0.025,TRUE
9998535,cb,btcusd,1.46785E+12,677.72,0.14149659,TRUE
9998536,cb,btcusd,1.46785E+12,677.72,0.2,TRUE
9998537,cb,btcusd,1.46785E+12,677.72,0.2,TRUE
9998538,cb,btcusd,1.46785E+12,677.72,0.2,TRUE
9998539,cb,btcusd,1.46785E+12,677.72,0.2,TRUE
9998540,cb,btcusd,1.46785E+12,677.72,0.2,TRUE
9998542,cb,btcusd,1.46785E+12,678,0.025,TRUE
9998541,cb,btcusd,1.46785E+12,678.05,0.012,TRUE
9998543,cb,btcusd,1.46785E+12,677.94,0.012,TRUE
9998544,cb,btcusd,1.46785E+12,677.72,0.151,TRUE
9998545,cb,btcusd,1.46785E+12,678.05,0.2,TRUE
9998547,cb,btcusd,1.46785E+12,678.16,0.025,FALSE
9998546,cb,btcusd,1.46785E+12,678.15,0.013,FALSE
9998548,cb,btcusd,1.46785E+12,678.22,0.012,FALSE
9998550,cb,btcusd,1.46785E+12,678.05,0.079,TRUE
9998549,cb,btcusd,1.46785E+12,678.05,0.03,TRUE
9998551,cb,btcusd,1.46785E+12,678.04,0.091,TRUE
9998552,cb,btcusd,1.46785E+12,678.22,0.013,FALSE
9998553,cb,btcusd,1.46785E+12,678.22,0.118,FALSE
9998554,cb,btcusd,1.46785E+12,678.25,0.01,FALSE
9998556,cb,btcusd,1.46785E+12,678.28,0.025,FALSE
9998559,cb,btcusd,1.46785E+12,678.38,0.111,FALSE
9998558,cb,btcusd,1.46785E+12,678.34,0.025,FALSE
9998557,cb,btcusd,1.46785E+12,678.3,0.025,FALSE
9998555,cb,btcusd,1.46785E+12,678.25,0.025,FALSE
9998563,cb,btcusd,1.46785E+12,678.5,0.02,FALSE
9998561,cb,btcusd,1.46785E+12,678.46,0.105,FALSE
9998562,cb,btcusd,1.46785E+12,678.49,0.53,FALSE
9998560,cb,btcusd,1.46785E+12,678.44,0.16,FALSE
9998564,cb,btcusd,1.46785E+12,678.51,0.56745,FALSE
9998565,cb,btcusd,1.46785E+12,678.04,0.2,TRUE
9998566,cb,btcusd,1.46785E+12,678.04,0.2,TRUE
9998567,cb,btcusd,1.46785E+12,678.04,0.029,TRUE
9998568,cb,btcusd,1.46785E+12,677.78,0.171,TRUE
9998569,cb,btcusd,1.46785E+12,677.78,0.2,TRUE
